Id;Dia;Mes;Ano;Valor;PEA_Ano;MeioTransporte_Id;Cliente_Id;Pacote;DataEmbarque;Quadrimestre;Contador
236;4;2;2022;50000;2021;2;6001;TE182;NULL;NULL;NULL
237;12;2;2022;50000;2021;2;6001;TE183;NULL;NULL;NULL
238;16;2;2022;50000;2021;2;6001;TE184;NULL;NULL;NULL
239;20;2;2022;50000;2021;2;6001;TE185;NULL;NULL;NULL
240;24;2;2022;50000;2021;2;6001;TE186;NULL;NULL;NULL
241;8;2;2022;28500;2021;2;6019;TXA23;NULL;NULL;NULL
242;28;2;2022;28500;2021;2;6019;TXA24;NULL;NULL;NULL
243;3;2;2022;4000;2021;3;5016;USC_02221;NULL;NULL;NULL
244;5;2;2022;4000;2021;3;5016;USC_02221;NULL;NULL;NULL
245;7;2;2022;4000;2021;3;5016;USC_02221;NULL;NULL;NULL
246;9;2;2022;4000;2021;3;5016;USC_02221;NULL;NULL;NULL
247;11;2;2022;4000;2021;3;5016;USC_02222;NULL;NULL;NULL
248;13;2;2022;4000;2021;3;5016;USC_02222;NULL;NULL;NULL
249;15;2;2022;4000;2021;3;5016;USC_02222;NULL;NULL;NULL
250;17;2;2022;4000;2021;3;5016;USC_02222;NULL;NULL;NULL
251;19;2;2022;4000;2021;3;5016;USC_02222;NULL;NULL;NULL
252;21;2;2022;4000;2021;3;5016;USC_02223;NULL;NULL;NULL
253;23;2;2022;4000;2021;3;5016;USC_02223;NULL;NULL;NULL
254;25;2;2022;4000;2021;3;5016;USC_02223;NULL;NULL;NULL
255;27;2;2022;2000;2021;3;5016;USC_02223;NULL;NULL;NULL
